Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 8288,1,0.149263,23.565727000000003,4.27754034979,28.657740697895658
Java(TM) Platform SE binary 1656,10,0.149603,23.627062000000002,4.21398462739,28.16778157784269
Java(TM) Platform SE binary 1768,100,0.15012499999999998,23.476212999999998,4.18732010883,28.644910084239385
Java(TM) Platform SE binary 8712,1000,0.14885600000000002,23.777914000000003,4.26025583829,28.333516259468873
Java(TM) Platform SE binary 1232,10000,0.14927100000000001,24.97045,4.52706182712,30.382965282684562
Java(TM) Platform SE binary 4076,100000,0.179454,23.854903333333336,5.20198077655,28.640004691396687
Java(TM) Platform SE binary 1256,1000000,0.258003,21.975609999999993,7.028573107280001,27.96281784514634
Java(TM) Platform SE binary 2672,10000000,0.6330479999999998,18.495447804878047,16.09195805536,25.628330672235062
Java(TM) Platform SE binary 5372,100000000,4.383796000000005,16.445691433691742,104.32168614421,23.794514959931963
Java(TM) Platform SE binary 2872,1000000000,43.88480800000001,19.29058110832134,1102.4282044095532,25.0820858209765
