Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 7160,1,0.166712,23.297268181818183,3.89701790491,23.45820584923492
Java(TM) Platform SE binary 1916,10,0.166024,24.300634545454542,3.7441291041,24.25776889665173
Java(TM) Platform SE binary 9004,100,0.1666,23.995269090909094,3.9709603840899996,24.39341442641724
Java(TM) Platform SE binary 9184,1000,0.152848,23.87121090909091,3.85274550188,24.112405974169963
Java(TM) Platform SE binary 8908,10000,0.164872,24.77204909090909,4.10946669297,24.97746079956481
Java(TM) Platform SE binary 5996,100000,0.19560000000000002,23.23152384615385,4.77856914013,24.45043793782203
Java(TM) Platform SE binary 7144,1000000,0.274473,22.19537944444444,6.377310067770001,23.34439706962069
Java(TM) Platform SE binary 8788,10000000,0.682258,18.369365000000002,13.98257037453,20.44438683162946
Java(TM) Platform SE binary 5552,100000000,4.777768999999998,15.799045442622962,87.24481913489004,18.193656583094064
Java(TM) Platform SE binary 7520,1000000000,44.371539999999946,19.194738988480932,1105.770983546091,25.22309416930384
