Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 6928,1,0.14982,22.932233,4.254157520360001,28.395124284875187
Java(TM) Platform SE binary 3128,10,0.14865899999999999,23.525318000000002,4.2825793697100005,28.562638308275993
Java(TM) Platform SE binary 5060,100,0.148574,23.776079,4.13275599773,27.816145474511018
Java(TM) Platform SE binary 4100,1000,0.14944,23.274571,4.27651693238,28.663558465518744
Java(TM) Platform SE binary 8788,10000,0.14874,24.688338,4.50450707465,30.477456221667417
Java(TM) Platform SE binary 232,100000,0.180283,23.383677500000005,5.2409288077400005,28.90196923801071
Java(TM) Platform SE binary 3740,1000000,0.242089,22.23729,7.078272155760001,29.1145540674076
Java(TM) Platform SE binary 7568,10000000,0.6332399999999998,18.2297423076923,15.89303362892,25.36670855816121
Java(TM) Platform SE binary 7464,100000000,4.353539999999998,16.672425464285716,103.79570885098002,24.02567731571125
Java(TM) Platform SE binary 5432,1000000000,44.19796200000002,19.537014550940704,1108.694742030299,25.165538869679082
