Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 1224,1,0.148796,23.299075,4.192443858799999,27.946101574370275
Java(TM) Platform SE binary 8988,10,0.150039,22.868001999999997,4.24946257634,26.77786883290397
Java(TM) Platform SE binary 8228,100,0.14873999999999998,24.312151999999998,4.19732676624,28.6251279931424
Java(TM) Platform SE binary 7448,1000,0.149721,23.83571,4.28390758096,28.612603315233002
Java(TM) Platform SE binary 7480,10000,0.149559,24.666755000000002,4.50192632931,29.88771057321069
Java(TM) Platform SE binary 8552,100000,0.180427,23.448670833333335,5.150581685440001,28.435714160998224
Java(TM) Platform SE binary 5332,1000000,0.24233100000000005,22.659523749999995,7.08258833934,29.22764196570721
Java(TM) Platform SE binary 7180,10000000,0.631994,18.262817804878043,15.812049383630002,25.394211880231733
Java(TM) Platform SE binary 5924,100000000,4.415438000000001,16.427928156028365,103.7241646805999,23.491251531693997
Java(TM) Platform SE binary 696,1000000000,44.97777099999989,19.643105062761485,1078.3200192710015,24.712879636979647
