Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 8092,1,0.148921,23.995511999999998,4.372799881730001,28.98746421268579
Java(TM) Platform SE binary 5220,10,0.14899500000000002,22.847876,4.30488182574,28.724592752133308
Java(TM) Platform SE binary 8492,100,0.148726,23.240705,4.23221142194,28.583736240172417
Java(TM) Platform SE binary 8200,1000,0.148618,24.344257999999996,4.2953605283,29.01525640916521
Java(TM) Platform SE binary 6292,10000,0.148616,24.798427999999998,4.61389607709,30.94069285738284
Java(TM) Platform SE binary 5996,100000,0.195366,22.237234166666667,5.248703593359999,27.756903403461205
Java(TM) Platform SE binary 7452,1000000,0.24230199999999996,22.9009025,7.281893243990001,29.964411119580053
Java(TM) Platform SE binary 7092,10000000,0.6044159999999998,18.750069999999997,15.966424711580004,26.40767431449532
Java(TM) Platform SE binary 1568,100000000,4.416436999999999,16.600734558303895,106.12209574839,24.10353058247237
Java(TM) Platform SE binary 9212,1000000000,44.8246899999999,19.02915781400513,1071.3260485158307,24.97830480361318
