Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 3620,1,0.14985300000000001,22.487085,4.22928339291,28.222881042821964
Java(TM) Platform SE binary 8424,10,0.14955100000000002,23.552915000000002,4.306201725419999,28.802098357434275
Java(TM) Platform SE binary 4068,100,0.148997,23.733636999999998,4.31297932492,28.94442164513553
Java(TM) Platform SE binary 8244,1000,0.149187,23.923547777777777,4.27834415005,28.741882314549827
Java(TM) Platform SE binary 4660,10000,0.16442700000000002,25.14877090909091,4.2553189720499995,25.87968503986571
Java(TM) Platform SE binary 7520,100000,0.19722000000000003,23.05729538461538,5.05658573952,25.677462915293486
Java(TM) Platform SE binary 8668,1000000,0.26076099999999997,21.91262588235294,6.6837704126199995,24.619206662586205
Java(TM) Platform SE binary 3648,10000000,0.6810460000000002,18.466282093023256,14.584219974519996,21.90895239189152
Java(TM) Platform SE binary 9168,100000000,4.714248000000005,16.072447500000017,94.12219684828,19.64277921109748
Java(TM) Platform SE binary 6596,1000000000,44.714730000000046,18.744181124097675,1097.995424752488,24.6944348891737
