Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 9508,1,0.11479999999999999,15.479171666666666,2.42081008939,20.839732493641122
Java(TM) Platform SE binary 8500,10,0.11221999999999999,15.985309999999998,2.43505652772,21.54408594159538
Java(TM) Platform SE binary 2808,100,0.115513,15.472495555555557,2.43626445378,21.006858207617373
Java(TM) Platform SE binary 5088,1000,0.11482300000000002,15.85052842105263,2.44512937857,21.10490970856325
Java(TM) Platform SE binary 3972,10000,0.120316,17.51756833333333,2.6549017262699994,22.470007709032878
Java(TM) Platform SE binary 8044,100000,0.132617,16.312241,2.8661567872099996,21.711358921706864
Java(TM) Platform SE binary 9088,1000000,0.22488,13.678202285714283,4.208009991999999,18.554098583849424
Java(TM) Platform SE binary 10628,10000000,0.9872260000000002,7.986966233766229,11.092895876969997,11.405720575185615
Java(TM) Platform SE binary 6552,100000000,8.487214999999981,6.490212767379687,80.46932216601998,9.523358064713413
Java(TM) Platform SE binary 6056,1000000000,90.65336299999937,9.24051515198411,1039.7438285968317,11.311300128867996
