Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 10988,1,0.128298,15.154742777777775,2.44035569038,19.46942250796301
Java(TM) Platform SE binary 1852,10,0.12643800000000002,15.231612777777777,2.41172775766,19.118238828754006
Java(TM) Platform SE binary 8800,100,0.12636799999999998,15.405177777777778,2.4461256484400002,19.30763831168445
Java(TM) Platform SE binary 10860,1000,0.126883,15.252598333333335,2.47877460599,19.22952202166615
Java(TM) Platform SE binary 8136,10000,0.13710899999999998,15.788535,2.688468333689999,19.852872957792712
Java(TM) Platform SE binary 8008,100000,0.145221,16.146852857142854,2.93250682901,20.193407489343826
Java(TM) Platform SE binary 7252,1000000,0.19875,16.954384444444447,4.18658675926,21.085593493190704
Java(TM) Platform SE binary 8120,10000000,0.536944,17.654612207792212,11.385660626949994,20.536257118517426
Java(TM) Platform SE binary 8008,100000000,3.713324999999999,18.450864854368923,81.23831674709004,21.859450063063914
Java(TM) Platform SE binary 10184,1000000000,40.72010600000003,20.476428621268003,918.664075848259,22.456109955599544
