Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 3336,1,0.12445900000000001,15.495714999999999,2.50393396249,20.049520515430785
Java(TM) Platform SE binary 5604,10,0.126718,15.917195,2.5445192150299993,20.27647235839601
Java(TM) Platform SE binary 2332,100,0.121687,15.793317058823531,2.5208372808400004,20.73115750984082
Java(TM) Platform SE binary 6892,1000,0.128391,15.541611666666666,2.5497010886,20.198624290954978
Java(TM) Platform SE binary 11008,10000,0.128496,16.276796111111114,2.7213527716500003,21.150268354812606
Java(TM) Platform SE binary 9812,100000,0.14396399999999998,16.280762000000003,3.0041244946999996,20.55816627260307
Java(TM) Platform SE binary 10152,1000000,0.233954,13.795061764705881,4.20083988276,17.897634312685398
Java(TM) Platform SE binary 1476,10000000,1.000375,8.71186294520548,11.673614302669996,11.81313972361619
Java(TM) Platform SE binary 5512,100000000,8.749092000000012,8.10298918735889,93.55499728118976,10.695786608926186
Java(TM) Platform SE binary 6224,1000000000,90.0489289999998,10.112165988341575,1045.7683034212373,11.489185436801554
