Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 6264,1,0.125153,16.237824210526316,2.6494305071,21.335533717130236
Java(TM) Platform SE binary 8944,10,0.12930799999999998,16.077893809523808,2.6735073423599998,20.498195076140163
Java(TM) Platform SE binary 92,100,0.12849400000000002,15.86738105263158,2.6591386942599997,20.694652623935742
Java(TM) Platform SE binary 8104,1000,0.129224,15.84896210526316,2.70523620617,20.925547741570277
Java(TM) Platform SE binary 6068,10000,0.14708,15.306496363636365,2.88036388019,19.666228177522438
Java(TM) Platform SE binary 7240,100000,0.15394300000000002,15.766799999999996,3.1263960427900006,19.41048812732417
Java(TM) Platform SE binary 6040,1000000,0.20365399999999997,16.55604379310345,4.289270855639999,21.082324973337982
Java(TM) Platform SE binary 196,10000000,0.5434189999999998,17.801352820512818,11.696523043459997,21.323318627002042
Java(TM) Platform SE binary 10332,100000000,3.750992000000003,18.431874053571427,84.64847077340002,21.954643216265424
Java(TM) Platform SE binary 4668,1000000000,41.934987000000085,20.923200254702845,937.6981631649303,22.695640090976553
