Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 2232,1,0.15865899999999994,15.83263956521739,3.279325140259999,20.48651771295088
Java(TM) Platform SE binary 10476,10,0.15803000000000003,16.133462173913045,3.32024812749,20.78298506171835
Java(TM) Platform SE binary 5324,100,0.15730299999999997,16.241959565217392,3.26541314617,20.79990960197835
Java(TM) Platform SE binary 10396,1000,0.161515,15.98897956521739,3.25075135673,20.399437579628028
Java(TM) Platform SE binary 1440,10000,0.16480699999999998,17.41428272727273,3.50291584383,21.169388992215143
Java(TM) Platform SE binary 9524,100000,0.17905600000000002,16.397365769230767,3.7227093017099997,20.711815695186285
Java(TM) Platform SE binary 6264,1000000,0.23476099999999997,16.44063696969697,4.80900076502,20.61407824413237
Java(TM) Platform SE binary 11196,10000000,0.6112850000000002,15.599599767441857,12.065565416090003,19.602306963389676
Java(TM) Platform SE binary 9252,100000000,4.471834,16.558162883787652,89.26491868411,19.961590408792006
Java(TM) Platform SE binary 3372,1000000000,46.874890999999955,19.66680225269491,967.5049869722963,21.20634682388741
