Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 6116,1,0.230027,17.734833124999998,5.183242140580001,22.371743518540104
Java(TM) Platform SE binary 824,10,0.22564399999999998,17.477349375000003,5.150538847739999,22.638736089578472
Java(TM) Platform SE binary 8260,100,0.235694,17.722476451612906,4.99556170054,21.37689575155732
Java(TM) Platform SE binary 2136,1000,0.227682,17.884894242424238,5.237109172529999,23.090903037556654
Java(TM) Platform SE binary 1652,10000,0.23467499999999997,17.908404411764703,5.3739872233699995,22.765362215093567
Java(TM) Platform SE binary 6048,100000,0.251054,17.990613999999997,5.61772292136,22.210413392415784
Java(TM) Platform SE binary 3104,1000000,0.29863899999999993,17.987388863636365,6.73691440652,22.56856158747417
Java(TM) Platform SE binary 8664,10000000,0.625859,18.394275777777782,13.950613899439997,22.29034638702966
Java(TM) Platform SE binary 8004,100000000,4.280760999999993,17.72686554559041,90.73738208871012,21.205099019664726
Java(TM) Platform SE binary 2292,1000000000,46.10897699999999,20.7244241185805,1017.7917529421109,21.37841260261182
