Process,Variable,Computational Time (s),Usage CPU (%),Consumed energy (J),Power (W)
Java(TM) Platform SE binary 5572,1,0.09143199999999999,15.041205384615383,1.7471358625399995,18.80177201304291
Java(TM) Platform SE binary 4680,10,0.09625299999999999,14.553475,1.77188889594,18.476606432583974
Java(TM) Platform SE binary 3216,100,0.093723,14.79987153846154,1.78602522332,19.073610122054617
Java(TM) Platform SE binary 252,1000,0.095705,15.084282,1.77776931233,18.55880283567417
Java(TM) Platform SE binary 1020,10000,0.108624,15.49487266666667,1.9268822441600002,18.678869348135578
Java(TM) Platform SE binary 5428,100000,0.132154,14.303888421052633,2.3154980035300006,17.837631843228355
Java(TM) Platform SE binary 9848,1000000,0.22816400000000003,12.5818984375,3.5860894586100005,15.713191903806033
Java(TM) Platform SE binary 3700,10000000,1.0544439999999995,7.336027435897435,9.96963621470999,9.484082048565599
Java(TM) Platform SE binary 5028,100000000,9.282149000000018,6.126722189781013,76.99834355992995,8.295314324293846
Java(TM) Platform SE binary 2488,1000000000,87.29754999999935,7.770621059895709,880.0206383704507,10.15036136964949
