Marca temporal,Who extracted the data?,Tool name,Brief description,Official webpage (URL),Main reference (DOI or URL to the paper),Which SPL phases support the tool?,Type of tool,Date of the first release/publication/development/paper,Date of the last update,Is the tool under active development?,Is the tool available online to download/use?,Is the tool working well and/or usable?,Is it a stand-alone tool?,The tool has been integrated within other tools. Which ones?
31/01/2019 15:38:05,José Miguel,vEXgine,vEXgine is a customizable and extensible implementation of the execution engine for the Common Variability Language (CVL).,http://caosd.lcc.uma.es/vexgine/,https://dl.acm.org/citation.cfm?id=3109749,Product Derivation (PD),Academic,1/09/2017,1/01/2018,No,Yes,Yes,Yes,
31/01/2019 16:41:41,José Miguel,FeatureHouse,"FeatureHouse is a general approach to the composition of software artifacts. FeatureHouse is language-independent in that software artifacts written in various languages can be composed, e.g., source code, test cases, models, documentation, and makefiles. Software artifacts are represented as feature structure trees (FSTs), which capture the essence of an artifact's modular structure in the form of a tree. As composition paradigm, FeatureHouse supports two approaches: superimposition and three-way merge. FeatureHouse consists of a tool for superimposition, called FSTComposer, a tool for three-way merge, called FSTMerge, and a plug-in and generation mechanism for integrating new languages automatically, called FSTGenerator. FeatureHouse can be used with the visual development environment FeatureIDE.",http://www.fosd.de/fh,https://ieeexplore.ieee.org/document/6095570,Product Derivation (PD),Academic,28/03/2008,25/03/2017,No,Yes,Yes,Yes,FeatureIDE
1/02/2019 10:22:54,José Miguel,DARE-COTS,"DARE-COTS (Domain Analysis Research Environment for Commercial Off-The-Shelf software) is a CASE tool that supports domain analysis-the activity of identifying and documenting the commonalities and variabilities in related software systems. DARE-COTS supports the capture of domain information from experts, documents and code in a domain. Captured domain information is stored in a domain book that typically contains a generic architecture for the domain and domain-specific reusable components.",,https://ieeexplore.ieee.org/document/636929,Domain Analysis (DA),Commercial Off-The-Shelf - CASE tool,15/11/1997,,,No,No,No,"In Control, MS Word, Concordance, Inspiration, Unix Tools"
7/02/2019 17:54:04,José Miguel,LISA toolkit,,,https://ieeexplore.ieee.org/document/6480448/,Domain Analysis (DA),,10/01/2013,,,No,,,
7/02/2019 17:58:51,José Miguel,ISMT4SPL,,,https://ieeexplore.ieee.org/document/6211152,"Domain Analysis (DA), Requirements Analysis (RA)",,1/06/2012,,,No,,CASE tool,
7/02/2019 18:01:02,José Miguel,Sysiphus-IVMM,,,https://www.sciencedirect.com/science/article/pii/S0950584912000481,"Domain Analysis (DA), Requirements Analysis (RA)",,1/09/2012,,,No,,,
7/02/2019 18:03:58,José Miguel,VariaMos,,,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.393.692,"Domain Analysis (DA), Requirements Analysis (RA)",,1/01/2012,,,No,,,
7/02/2019 18:09:49,José Miguel,VULCAN,,,https://dl.acm.org/citation.cfm?doid=2364412.2364459,"Domain Analysis (DA), Requirements Analysis (RA)",,7/09/2012,,,No,,CASE tool,
7/02/2019 18:20:15,José Miguel,Pacogen,,http://people.rennes.inria.fr/Arnaud.Gotlieb/resources/Pacogen/Pacogen.html,https://ieeexplore.ieee.org/document/6132960,Domain Analysis (DA),Academic,2/12/2011,25/09/2013,No,Yes,,Yes,
11/02/2019 10:52:29,José Miguel,FMT,,,https://ieeexplore.ieee.org/document/5704321,"Domain Analysis (DA), Requirements Analysis (RA)",,12/12/2010,,,No,,,
11/02/2019 10:59:07,José Miguel,Hephaestus,,https://twiki.cin.ufpe.br/twiki/bin/view/SPG/HephaestusTool,,"Domain Analysis (DA), Requirements Analysis (RA)",,1/01/2010,,,Yes,No,,
11/02/2019 11:14:28,José Miguel,Hydra,Hydra is a tool for feature modelling that provides a fully graphical and user friendly editor for the design of feature models and a textual editor with a syntax for specifying restrictions between features.,http://caosd.lcc.uma.es/hydra/,http://caosd.lcc.uma.es/wp-content/resources/hydra/documents/PFC_JRSalazar.pdf,"Domain Analysis (DA), Requirements Analysis (RA)",Academic,1/01/2009,,No,Yes,Yes,No,
11/02/2019 11:18:17,José Miguel,S.P.L.O.T.,State-of-the-art online tools targeting academics and practitioners in the field of Software Productline Research,http://www.splot-research.org/,,"Domain Analysis (DA), Requirements Analysis (RA)",Academic,1/05/2009,1/01/2015,,Yes,Yes,Yes,
11/02/2019 11:21:58,José Miguel,S2T2 Configurator,S2T2 Configurator integrates interactive visual configuration of feature models with an formal reasoning engine.,http://download.lero.ie/spl/s2t2/,https://ulir.ul.ie/handle/10344/2311,Requirements Analysis (RA),Academic,1/01/2009,1/01/2012,,No,No,No,
11/02/2019 11:24:54,José Miguel,FeatureMapper,Eclipse editor for product lines of ecore models; annotationbased; supports views and some analysis,,,"Domain Analysis (DA), Domain Implementation (DI)",,1/01/2008,,,No,,,
11/02/2019 11:28:19,José Miguel,Invar,,,,Requirements Analysis (RA),,1/01/2010,,,No,,,
11/02/2019 11:38:24,José Miguel,MoSPL,,,https://ieeexplore.ieee.org/document/4492408,"Domain Analysis (DA), Requirements Analysis (RA)",,4/04/2008,,,No,,,
11/02/2019 11:41:15,José Miguel,VISIT-FC,,,https://ulir.ul.ie/handle/10344/2111,"Domain Analysis (DA), Requirements Analysis (RA)",,1/01/2008,,,No,,,
11/02/2019 11:43:30,José Miguel,DecisionKing,,,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.111.5136,"Domain Analysis (DA), Requirements Analysis (RA)",,1/01/2007,,,No,,,
11/02/2019 11:47:15,José Miguel,DOPLER,,,https://link.springer.com/article/10.1007/s10515-010-0076-6,"Domain Analysis (DA), Requirements Analysis (RA)",,1/01/2007,,,No,,,
11/02/2019 11:56:36,José Miguel,FaMa,Comprehensive research framework for feature-model analysis.,http://www.isa.us.es/fama/,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.77.8501,"Domain Analysis (DA), Requirements Analysis (RA)",,1/01/2007,1/03/2012,No,Yes,Yes,,"pure::variants, MOSKitt4SPL"
11/02/2019 12:00:32,José Miguel,GenArch,,,http://www.jucs.org/jucs_14_8/a_product_derivation_tool,"Domain Analysis (DA), Requirements Analysis (RA)",,1/01/2007,,,No,,,
11/02/2019 12:02:19,José Miguel,REMAP-tool,,,https://ieeexplore.ieee.org/document/1691583,"Domain Analysis (DA), Requirements Analysis (RA)",,24/08/2006,,,No,,,
11/02/2019 12:04:49,José Miguel,YaM,,,https://ieeexplore.ieee.org/document/1659550,Requirements Analysis (RA),,20/07/2006,,,No,,,
11/02/2019 12:06:37,José Miguel,AORA,,,https://dl.acm.org/citation.cfm?id=1982333,"Domain Analysis (DA), Requirements Analysis (RA)",,1/01/2005,,,No,,,
11/02/2019 12:08:18,José Miguel,DOORS Extension,,,https://ieeexplore.ieee.org/document/1531026,Domain Analysis (DA),,2/09/2005,,,No,,,
11/02/2019 12:11:08,José Miguel,FeatureIDE,FeatureIDE is an open-source framework for feature-oriented software development (FOSD) based on Eclipse.,http://www.metop.de/featureide/index.php,https://www.sciencedirect.com/science/article/pii/S0167642312001128,"Domain Analysis (DA), Requirements Analysis (RA), Domain Implementation (DI), Product Derivation (PD)",Academic,1/01/2004,1/11/2018,Yes,Yes,Yes,Yes,
